,correct_option,llama70b,llama13b,llama7b,gpt35turbo,finetuned_gpt3,random,MoMu_zero,multimodal_correct_option,MoleculeSTM_zero,KV-PLM_zero,kvplm_correct_option,SciBERT_zero,MoMu_finetuned,MoleculeSTM_finetuned,galactica-125m_zero,galactica_correct_option,galactica-1.3b_zero,galactica-6.7b_zero,galactica-125m_finetuned,galactica-1.3b_finetuned,galactica-6.7b_finetuned
1362,1,4,1,1,4,2,1,1,4,1,0,0,1,1,1,2,0,0,2,0,3,0
1363,3,4,1,1,5,4,1,2,2,2,2,2,2,2,2,0,2,0,2,2,3,3
1364,5,3,3,-1,3,1,2,2,2,2,1,4,0,0,2,3,4,3,3,1,1,1
1365,4,4,2,5,4,1,4,4,0,4,1,3,4,4,4,4,3,0,1,1,2,2
1366,3,3,3,1,3,4,2,3,3,3,2,2,2,3,3,3,2,0,0,2,2,0
1367,3,1,1,1,2,1,4,0,0,0,0,2,2,0,0,3,2,3,3,2,0,2
1368,4,4,4,1,4,4,2,0,1,4,0,3,0,2,4,2,3,0,0,1,3,3
1369,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,0,0,3,3,3
1370,5,4,3,5,5,2,1,0,3,3,4,4,4,0,3,2,4,0,0,1,3,3
1371,3,3,3,-1,3,2,3,3,1,3,2,2,1,3,4,1,2,1,1,1,2,2
1372,1,4,3,1,5,2,1,2,0,0,0,0,4,0,0,3,0,0,0,2,2,2
1373,1,3,1,4,5,4,1,0,2,0,3,0,3,3,0,1,0,1,0,3,3,3
1374,3,5,3,1,5,4,5,3,1,1,4,2,4,1,1,3,2,0,0,0,0,0
1375,1,2,1,-1,2,2,5,1,2,2,1,0,3,0,2,4,0,0,4,2,2,2
1376,4,4,1,1,1,1,4,2,2,3,3,3,4,3,1,1,3,0,1,0,2,2
1377,4,5,1,-1,5,1,2,0,0,4,2,3,2,0,4,1,3,1,0,4,3,2
1378,5,1,1,-1,1,1,3,1,4,4,3,4,1,1,4,1,4,1,1,1,2,2
1379,1,4,2,5,5,4,5,3,3,3,4,0,4,1,3,4,0,0,0,2,3,2
1380,5,2,2,-1,2,3,5,3,3,3,4,4,1,3,3,0,4,3,1,2,2,2
1381,2,4,3,1,4,3,5,3,3,2,0,1,4,3,2,4,1,0,0,3,2,2
1382,1,1,2,1,2,1,2,2,2,2,1,0,1,2,2,3,0,3,3,1,4,4
1383,5,5,3,5,5,3,2,4,1,1,4,4,2,4,4,0,4,0,0,1,2,3
1384,5,2,2,1,3,2,2,4,4,4,1,4,4,4,4,1,4,1,1,0,0,3
1385,2,1,3,1,2,4,3,1,1,1,1,1,2,1,1,4,1,4,4,3,0,0
1386,1,1,1,-1,4,4,3,0,2,2,0,0,2,3,2,0,0,0,0,2,2,3
1387,3,4,3,3,2,2,4,3,1,4,1,2,3,3,2,0,2,0,1,1,3,0
1388,4,3,3,4,5,1,1,1,0,3,3,3,0,0,3,4,3,0,4,2,3,2
1389,4,2,1,5,2,2,5,0,3,4,1,3,0,4,4,4,3,4,4,1,1,1
1390,3,3,3,1,5,3,5,0,0,3,1,2,4,3,3,3,2,3,0,2,4,4
1391,2,3,3,1,5,3,5,0,0,0,2,1,0,0,0,0,1,0,1,2,2,2
1392,3,3,3,1,3,4,4,2,0,2,2,2,2,2,2,2,2,1,2,1,1,0
1393,3,1,3,1,1,2,2,1,1,1,2,2,0,1,1,2,2,0,0,3,3,0
1394,5,5,2,1,1,2,4,4,2,4,3,4,4,4,4,3,4,0,0,1,2,2
1395,5,5,2,1,5,1,1,2,2,2,4,4,3,2,2,4,4,0,0,0,3,3
1396,5,5,5,4,5,1,3,4,4,4,4,4,0,4,4,2,4,0,0,0,3,1
1397,2,4,2,-1,3,1,3,0,4,0,0,1,2,0,4,0,1,0,3,3,3,3
1398,2,5,3,1,1,2,4,0,0,0,1,1,0,0,0,1,1,0,0,3,2,2
1399,3,4,5,1,3,3,5,2,4,3,2,2,4,3,3,2,2,1,2,1,3,3
1400,1,2,2,1,2,4,2,2,2,2,0,0,1,2,2,3,0,0,2,1,1,2
1401,1,4,3,-1,4,1,5,3,3,3,4,0,4,3,3,1,0,0,3,3,3,3
1402,1,4,1,-1,3,4,4,1,0,0,3,0,4,2,0,3,0,3,0,2,0,2
1403,4,4,2,1,2,1,4,4,4,4,4,3,2,4,4,2,3,0,0,1,0,0
1404,5,4,3,-1,4,1,5,3,0,0,2,4,4,0,0,2,4,0,3,3,3,3
1405,2,2,3,-1,3,1,5,3,1,3,0,1,1,3,3,0,1,0,3,0,4,0
1406,3,2,2,5,2,4,2,1,1,0,0,2,0,1,0,0,2,0,1,1,3,3
1407,2,2,3,5,5,1,1,1,1,1,0,1,1,1,1,2,1,0,2,0,3,0
1408,1,4,3,4,3,3,2,1,2,4,2,0,3,1,4,1,0,0,1,2,3,3
1409,1,4,2,4,5,1,3,1,1,1,3,0,0,1,1,0,0,0,0,1,2,3
1410,3,3,3,1,5,1,3,3,3,3,4,2,4,4,3,1,2,0,1,0,0,0
1411,4,5,5,1,4,2,2,0,0,0,0,3,0,0,0,1,3,0,0,0,0,4
1412,3,3,3,1,3,2,4,1,2,2,1,2,1,2,2,0,2,0,1,2,2,2
1413,4,4,3,1,5,1,4,2,2,2,3,3,4,2,2,1,3,4,1,2,3,3
1414,5,4,1,1,2,4,1,1,1,1,2,4,0,1,1,0,4,0,2,1,0,0
1415,5,4,3,1,1,2,4,4,4,4,2,4,0,4,4,0,4,0,0,2,3,3
1416,3,1,2,1,1,2,1,2,2,2,1,2,1,2,2,4,2,0,4,0,2,2
1417,2,3,3,4,5,4,4,1,1,1,1,1,1,1,1,1,1,0,0,2,2,3
1418,5,4,1,-1,1,4,5,2,2,2,3,4,1,2,2,2,4,3,2,1,3,3
1419,1,2,2,-1,3,2,5,2,2,2,1,0,4,2,2,3,0,0,0,1,4,4
1420,5,2,2,3,3,3,1,0,3,3,4,4,0,0,3,3,4,0,3,2,1,2
1421,4,1,2,-1,1,3,5,0,0,0,3,3,3,0,0,4,3,0,0,1,2,2
1422,4,4,3,1,4,2,2,3,3,3,0,3,2,3,3,4,3,0,2,1,2,2
1423,1,4,2,3,5,4,2,2,3,4,4,0,1,2,4,0,0,4,2,4,3,2
1424,1,1,3,1,2,3,1,2,3,3,1,0,0,2,2,3,0,3,4,4,4,4
1425,2,4,3,2,3,3,1,4,4,4,3,1,0,4,0,0,1,0,2,2,3,2
1426,2,1,1,-1,2,1,5,0,0,0,0,1,0,0,0,2,1,0,0,0,3,3
1427,5,3,3,-1,5,4,2,0,0,0,4,4,3,0,0,2,4,0,0,1,3,3
1428,5,3,3,1,5,4,5,1,1,2,0,4,1,1,3,3,4,0,0,0,0,2
1429,3,4,2,1,4,4,3,0,0,0,4,2,0,0,0,2,2,2,2,1,3,3
1430,3,1,2,-1,3,2,5,2,1,2,0,2,3,2,2,4,2,0,4,2,2,2
1431,3,4,3,4,3,3,3,2,2,2,3,2,1,2,2,1,2,0,0,3,2,2
1432,2,5,3,-1,2,4,1,3,3,3,1,1,0,3,3,0,1,0,1,1,3,3
1433,1,3,3,-1,1,1,3,2,2,2,3,0,0,2,2,3,0,3,3,1,3,2
1434,1,5,2,-1,1,4,4,4,4,4,4,0,0,4,4,2,0,2,2,0,3,0
1435,5,2,2,-1,5,3,3,0,0,0,4,4,1,0,1,0,4,0,1,1,1,2
1436,4,3,3,3,1,4,4,1,1,3,3,3,3,1,1,3,3,3,3,1,0,2
1437,5,1,1,1,5,1,1,2,2,2,4,4,1,1,2,4,4,0,0,3,3,3
1438,1,5,2,2,5,4,5,0,1,1,1,0,0,3,3,2,0,2,0,4,3,4
1439,5,1,3,-1,1,1,1,1,0,1,4,4,0,1,1,3,4,0,0,1,0,0
1440,5,3,2,4,4,4,1,1,1,1,3,4,0,1,1,1,4,0,0,0,3,3
1441,3,3,3,1,3,3,5,1,1,1,1,2,0,1,1,3,2,0,0,1,4,3
1442,3,3,3,5,5,6,3,1,1,1,2,2,3,1,1,0,2,0,1,3,3,3
1443,4,2,1,1,3,4,5,2,2,2,3,3,0,2,0,4,3,4,0,2,2,2
1444,5,2,3,1,5,1,5,2,0,3,4,4,3,3,3,0,4,0,4,4,2,4
1445,5,1,5,-1,1,3,2,2,2,0,4,4,2,3,0,2,4,2,2,1,1,1
1446,1,4,3,4,2,4,4,2,2,2,0,0,2,2,2,0,0,0,0,1,3,3
1447,5,4,1,4,5,3,2,2,2,2,1,4,0,2,2,0,4,0,1,1,3,3
1448,3,2,1,1,2,3,4,0,0,0,1,2,4,0,0,3,2,0,3,2,2,2
1449,2,4,3,1,5,4,4,1,2,0,1,1,0,1,0,0,1,0,0,2,3,3
1450,3,3,3,4,3,3,4,0,3,2,0,2,1,2,2,4,2,0,4,2,0,0
1451,3,2,2,2,3,1,3,1,1,1,2,2,1,1,1,0,2,0,1,1,1,2
1452,3,1,1,-1,3,2,3,0,2,2,2,2,0,0,2,1,2,4,0,1,3,1
1453,2,2,3,1,5,2,1,1,0,3,1,1,3,0,1,0,1,0,0,2,2,2
1454,5,4,4,3,4,1,3,3,3,3,4,4,0,3,3,0,4,3,0,0,2,3
1455,4,4,2,-1,1,1,4,0,0,0,3,3,1,0,0,2,3,2,0,0,0,0
1456,1,1,1,1,1,3,1,4,4,4,0,0,1,4,4,1,0,3,1,1,3,2
1457,3,3,3,-1,3,1,2,1,1,1,2,2,1,1,1,0,2,0,4,4,4,2
1458,1,1,3,1,2,4,1,4,4,4,4,0,0,4,4,3,0,3,3,0,2,2
1459,5,3,2,-1,1,3,5,4,4,3,4,4,4,4,3,0,4,0,0,1,3,3
1460,4,4,3,1,4,2,5,0,1,2,0,3,0,0,4,0,3,0,1,1,3,3
1461,3,2,3,-1,4,4,3,3,3,3,2,2,2,3,3,0,2,0,3,2,2,2
1462,1,1,1,-1,2,1,2,2,2,3,1,0,0,2,2,2,0,2,2,1,1,2
1463,4,2,1,-1,4,2,5,1,1,1,1,3,0,1,1,4,3,0,4,1,3,3
1464,3,1,3,-1,3,3,2,2,2,2,3,2,2,2,2,3,2,0,0,2,2,2
1465,5,1,1,1,2,3,3,1,1,3,3,4,3,1,3,0,4,0,2,3,2,2
1466,3,3,3,1,3,4,5,0,2,0,4,2,0,0,0,4,2,4,4,1,2,3
1467,3,3,3,3,3,2,2,4,4,4,2,2,4,4,4,0,2,0,1,1,3,1
1468,5,3,1,2,2,1,5,3,3,3,4,4,4,3,3,0,4,0,0,1,2,3
1469,5,5,3,1,5,3,1,0,0,0,4,4,4,0,2,0,4,0,3,0,3,0
1470,4,1,3,-1,3,1,4,4,4,4,0,3,0,4,4,3,3,0,0,1,2,2
1471,3,1,1,1,2,4,2,4,4,4,0,2,4,4,4,2,2,2,0,0,0,0
1472,2,2,2,1,2,4,2,4,4,4,1,1,4,4,4,0,1,0,1,1,4,2
1473,3,3,3,1,3,1,5,0,0,1,2,2,0,0,3,3,2,0,1,1,2,2
1474,5,5,2,2,5,3,5,0,0,0,1,4,0,0,0,0,4,0,1,2,3,3
1475,1,4,2,4,1,4,1,3,4,3,0,0,4,3,3,4,0,0,0,2,2,0
1476,5,4,1,2,5,1,2,0,2,2,0,4,1,0,0,2,4,0,0,1,3,3
1477,1,2,2,1,3,1,4,4,2,2,0,0,4,2,2,0,0,0,1,2,3,3
1478,4,1,1,-1,2,2,2,0,4,3,4,3,0,3,3,2,3,3,3,1,1,1
1479,2,3,3,4,5,4,1,3,3,3,2,1,4,3,3,1,1,0,4,4,3,4
1480,5,4,3,3,1,4,4,3,1,2,1,4,2,3,3,4,4,0,4,3,3,0
1481,3,1,3,1,3,4,5,4,4,1,2,2,0,2,1,4,2,4,4,2,3,1
1482,1,3,2,1,2,3,2,2,1,2,0,0,0,1,1,3,0,0,0,2,2,2
1483,5,5,5,4,5,1,5,1,1,0,4,4,3,1,0,2,4,0,0,4,4,4
1484,5,1,3,3,5,4,3,1,1,1,4,4,4,1,1,3,4,3,3,2,4,2
1485,2,1,2,1,2,1,4,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1486,1,1,1,-1,5,3,2,2,2,2,4,0,3,2,2,3,0,3,0,2,2,0
1487,5,3,3,-1,5,3,5,4,4,2,2,4,2,4,4,3,4,3,3,2,2,3
1488,5,5,3,-1,5,1,5,0,0,4,4,4,1,0,0,3,4,0,0,0,0,0
1489,3,3,3,3,5,4,1,1,1,1,2,2,4,1,1,1,2,0,1,2,3,3
1490,1,2,2,2,2,2,2,4,4,4,1,0,0,4,4,4,0,0,0,1,0,1
1491,4,1,1,-1,5,1,2,1,0,1,4,3,4,2,2,1,3,1,0,0,4,4
1492,5,5,5,1,5,4,4,1,1,4,3,4,4,1,4,1,4,0,0,0,3,3
1493,5,2,3,1,5,1,4,0,0,0,4,4,3,0,0,0,4,0,1,1,3,3
1494,3,1,3,1,2,2,3,2,2,2,2,2,2,2,2,0,2,0,0,3,2,2
1495,5,2,2,5,5,4,5,1,1,1,4,4,0,1,1,3,4,0,1,2,1,1
1496,2,2,3,4,3,2,1,3,3,3,1,1,3,3,3,0,1,0,1,3,3,3
1497,1,4,3,-1,5,4,1,0,3,3,0,0,1,4,1,3,0,3,3,2,2,2
1498,3,2,2,5,5,3,1,4,4,4,2,2,1,4,4,3,2,0,1,1,4,2
1499,2,4,1,1,5,4,3,3,4,4,1,1,1,3,4,0,1,0,2,2,2,2
1500,1,1,1,-1,1,1,5,2,2,2,0,0,4,2,2,2,0,2,0,1,3,3
1501,2,1,1,-1,5,2,4,2,3,3,1,1,1,2,3,0,1,3,0,2,1,2
1502,5,5,2,5,1,1,4,4,0,4,4,4,2,0,4,0,4,0,0,3,3,2
1503,5,5,5,5,5,1,2,1,2,4,4,4,1,1,4,2,4,0,0,1,3,2
1504,4,3,3,5,5,4,1,2,2,2,0,3,2,2,2,4,3,0,0,1,3,3
1505,1,3,3,5,3,1,1,1,1,1,3,0,2,1,4,4,0,0,2,2,2,2
1506,5,1,3,-1,2,2,4,0,0,0,4,4,0,0,0,1,4,3,3,1,2,2
1507,4,4,3,1,5,3,5,3,3,3,3,3,2,3,3,1,3,0,0,0,0,0
1508,5,1,1,1,4,4,2,1,2,2,4,4,2,2,2,0,4,4,4,0,2,2
1509,2,4,2,4,2,1,5,1,1,4,1,1,0,1,4,2,1,2,0,4,4,4
1510,3,4,1,1,4,4,4,2,2,2,2,2,4,4,4,0,2,0,2,1,1,1
1511,2,5,1,-1,1,4,1,0,2,4,2,1,0,2,4,1,1,0,0,0,0,0
1512,1,5,3,1,1,2,3,4,2,1,0,0,3,4,4,0,0,0,2,3,2,3
1513,4,1,2,3,2,2,1,4,4,0,0,3,2,4,0,2,3,0,0,0,0,0
1514,5,4,3,4,5,1,4,2,2,2,1,4,1,2,4,2,4,0,2,4,1,1
1515,5,1,1,1,2,3,4,3,1,1,3,4,2,0,1,2,4,0,0,4,3,3
1516,1,5,2,-1,5,4,5,1,0,1,4,0,0,1,1,0,0,0,0,2,3,3
1517,1,4,1,-1,4,1,3,2,0,1,2,0,4,4,0,4,0,4,0,1,3,2
1518,2,4,3,1,5,3,3,1,2,2,1,1,2,1,1,3,1,3,0,2,2,2
1519,1,1,3,1,3,3,2,2,2,2,0,0,1,2,2,3,0,0,0,2,1,2
1520,5,1,3,1,2,3,5,0,1,0,0,4,2,0,0,0,4,0,3,1,0,2
1521,2,4,2,-1,2,4,4,2,2,4,4,1,4,2,2,0,1,0,1,4,4,3
1522,5,3,2,5,5,4,2,1,1,4,1,4,2,1,4,3,4,0,0,2,3,2
1523,4,3,2,4,1,1,3,0,0,0,2,3,1,0,0,4,3,4,0,1,2,2
1524,1,5,2012,5,1,2,1,2,4,2,4,0,3,2,2,0,0,0,0,0,0,0
1525,1,4,1,-1,4,3,5,0,3,0,2,0,3,0,0,4,0,4,4,0,0,0
1526,1,1,3,1,1,3,4,4,3,3,3,0,4,1,3,1,0,0,0,0,4,2
1527,5,5,3,5,5,4,2,3,2,2,4,4,2,2,2,0,4,1,2,2,2,2
1528,4,1,1,1,5,3,4,2,0,0,3,3,2,2,0,0,3,0,0,1,3,2
1529,3,2,2,1,5,2,4,2,2,2,2,2,3,2,2,0,2,0,2,1,3,2
1530,2,3,1,1,1,1,5,1,3,0,1,1,0,1,0,3,1,0,0,2,0,2
1531,4,3,3,5,1,1,3,4,4,4,3,3,0,4,2,4,3,0,0,1,3,2
1532,3,3,3,3,3,3,1,4,4,4,2,2,0,4,4,1,2,1,2,2,2,2
1533,1,1,3,1,1,2,5,2,4,4,0,0,2,1,0,3,0,3,0,2,2,2
1534,1,1,2,1,1,1,3,3,3,3,0,0,4,3,3,3,0,0,0,1,4,0
1535,5,2,3,4,3,1,3,1,1,1,4,4,4,1,1,0,4,0,0,4,4,2
1536,1,1,1,-1,1,4,3,2,2,3,0,0,2,3,2,3,0,0,0,0,3,0
1537,1,1,1,1,2,4,3,2,2,2,0,0,0,2,2,2,0,2,0,3,3,3
1538,2,2,2,1,5,2,3,0,1,0,1,1,3,0,0,3,1,0,1,2,4,2
1539,1,1,2,-1,1,4,2,4,4,4,3,0,4,4,4,4,0,0,0,0,3,2
1540,4,1,1,-1,5,1,3,3,4,3,2,3,2,3,3,3,3,0,0,1,4,0
1541,2,2,2,-1,2,3,3,2,2,2,1,1,3,2,2,0,1,1,0,0,0,4
1542,5,4,3,1,5,4,2,4,3,4,4,4,3,4,4,4,4,0,2,2,2,3
1543,1,3,3,2,3,1,3,1,4,4,2,0,1,1,4,0,0,0,1,2,1,2
1544,4,4,3,1,4,4,1,0,3,3,3,3,1,3,3,0,3,0,1,1,1,2
1545,2,1,2,1,2,2,1,0,4,4,1,1,4,0,4,4,1,4,4,1,1,1
1546,3,1,3,1,4,4,1,1,3,1,1,2,4,1,1,1,2,0,0,3,2,2
1547,4,4,3,1,1,1,4,2,2,2,4,3,1,2,2,4,3,1,1,1,3,1
1548,4,1,3,2,1,2,4,0,4,2,2,3,4,0,0,4,3,4,0,1,2,2
1549,5,1,1,-1,1,2,2,0,3,4,1,4,2,0,0,4,4,4,0,1,2,2
1550,5,1,3,1,2,2,4,3,3,3,4,4,3,3,3,4,4,0,1,1,3,2
1551,2,3,3,-1,4,1,4,3,3,1,2,1,0,3,3,0,1,0,2,1,2,2
1552,4,1,1,-1,4,2,4,2,2,2,3,3,4,2,2,3,3,3,3,0,0,0
1553,4,2,2,1,3,4,2,3,1,3,3,3,3,3,3,4,3,0,0,0,0,0
1554,3,3,2,1,4,2,4,3,3,3,2,2,0,3,3,4,2,0,1,1,3,3
1555,4,4,3,1,3,1,1,0,2,2,3,3,2,0,4,1,3,0,2,0,3,2
1556,2,2,2,1,4,3,2,3,3,3,1,1,3,4,3,0,1,0,1,3,2,2
1557,3,3,3,4,3,1,5,3,3,1,2,2,2,3,3,0,2,0,1,0,3,2
1558,4,2,3,5,5,2,4,4,2,0,3,3,1,4,0,0,3,0,1,1,3,1
1559,4,4,1,1,1,4,2,3,3,3,1,3,2,3,3,2,3,0,0,0,4,4
1560,3,4,1,1,2,1,5,2,2,2,0,2,4,2,2,0,2,0,1,1,2,3
1561,5,1,1,-1,2,4,2,0,1,3,3,4,0,0,3,2,4,2,0,2,2,3
1562,1,1,5,5,1,1,4,3,3,2,0,0,4,3,3,0,0,1,0,0,2,3
1563,2,4,2,4,4,3,2,2,0,2,3,1,1,3,2,0,1,0,1,1,3,1
1564,4,3,3,5,4,1,5,3,3,3,3,3,3,3,3,1,3,0,0,4,3,3
1565,5,2,2,1,5,2,5,2,2,2,4,4,3,2,4,2,4,0,1,1,3,1
1566,4,1,1,1,2,3,5,0,0,0,3,3,2,0,0,4,3,0,0,1,1,1
1567,2,4,2,5,5,3,1,2,1,4,3,1,0,0,2,0,1,0,2,3,3,3
1568,5,4,3,4,4,1,2,1,1,1,2,4,2,1,1,2,4,0,0,1,4,1
1569,5,4,3,1,5,1,3,3,3,3,4,4,2,3,2,2,4,1,2,1,1,1
1570,2,1,2,4,2,2,5,0,4,4,1,1,3,0,4,3,1,0,3,2,3,2
1571,3,1,3,-1,3,4,1,1,2,1,2,2,0,2,2,0,2,0,0,2,0,2
1572,3,1,3,5,3,4,5,4,3,4,0,2,0,1,4,4,2,4,0,1,2,2
1573,4,4,1,1,1,3,3,1,1,1,3,3,4,1,1,2,3,0,0,3,3,3
1574,3,1,2,1,1,1,5,4,4,4,2,2,3,4,4,4,2,4,0,2,2,2
1575,2,4,2,-1,2,2,3,4,3,2,1,1,2,3,3,0,1,0,2,1,3,1
1576,1,3,3,-1,1,1,2,3,1,1,0,0,1,3,1,1,0,1,1,4,2,2
1577,3,4,3,1,5,2,5,0,1,0,1,2,0,0,0,0,2,0,1,1,1,1
1578,5,3,2,1,5,3,4,3,1,2,4,4,3,3,3,1,4,0,1,2,2,2
1579,3,1,1,1,2,1,3,0,3,3,4,2,3,0,4,0,2,0,0,2,2,2
1580,2,2,3,-1,2,1,2,0,0,0,1,1,4,0,0,2,1,2,2,4,4,4
1581,2,2,2,-1,1,4,5,4,4,4,0,1,0,4,4,0,1,2,2,1,0,1
1582,5,5,2,-1,5,1,5,3,3,0,4,4,4,0,0,3,4,3,3,2,1,2
1583,4,4,4,1,4,4,3,0,1,0,0,3,0,0,0,2,3,2,0,2,2,3
1584,1,1,3,1,1,4,5,2,2,2,0,0,1,2,2,3,0,3,0,4,3,1
1585,4,1,1,4,5,3,3,2,2,2,3,3,2,2,2,1,3,1,1,4,3,3
1586,3,1,3,1,1,4,3,0,0,0,2,2,3,0,0,4,2,0,1,1,3,2
1587,2,2,2,3,2,1,1,0,0,0,1,1,2,0,0,3,1,0,1,2,2,2
1588,4,1,2,-1,1,3,5,1,1,1,3,3,4,1,1,2,3,0,0,1,3,3
1589,4,4,1,-1,4,4,1,0,0,0,3,3,2,1,1,1,3,0,1,2,3,3
1590,1,1,3,-1,3,2,3,3,3,1,0,0,0,3,1,1,0,0,0,1,2,2
1591,3,4,3,1,2,2,2,3,3,3,4,2,0,3,3,4,2,0,4,1,0,2
1592,4,3,3,-1,3,4,2,0,0,0,3,3,0,4,4,0,3,0,0,1,3,3
1593,5,5,3,1,5,4,3,0,0,0,4,4,2,0,0,3,4,3,3,2,4,2
1594,2,2,2,4,2,3,4,0,0,0,1,1,0,0,0,0,1,0,0,0,3,2
1595,3,3,3,5,5,4,2,0,0,0,3,2,2,0,0,0,2,0,0,1,2,2
1596,1,1,3,1,1,2,2,2,2,2,2,0,0,1,4,0,0,0,0,1,3,0
1597,1,3,3,1,4,4,2,4,4,4,1,0,0,4,4,4,0,4,0,2,0,0
1598,1,5,1,-1,1,3,1,4,4,4,2,0,0,4,4,0,0,2,0,3,3,3
1599,2,1,1,1,2,4,1,0,0,0,4,1,4,0,0,4,1,0,4,1,3,3
1600,5,5,3,1,5,1,5,1,1,1,2,4,1,1,1,0,4,0,3,2,2,3
1601,1,4,3,1,4,3,4,4,2,2,0,0,3,4,2,0,0,0,0,2,2,2
1602,3,4,2,1,1,2,2,1,1,1,1,2,0,1,1,0,2,4,4,0,4,3
1603,3,4,2,1,1,4,4,2,3,3,0,2,4,2,3,0,2,1,1,0,2,4
1604,4,2,1,-1,2,3,5,1,2,2,3,3,2,1,2,2,3,0,2,3,3,3
1605,1,3,5,1,1,3,2,3,3,3,0,0,1,3,3,4,0,4,2,1,2,2
1606,3,1,1,1,1,1,4,2,2,0,2,2,2,2,2,4,2,0,0,1,0,2
1607,3,1,2,2,3,1,2,2,4,2,2,2,0,2,2,4,2,0,4,0,2,2
1608,5,4,2,-1,1,4,5,4,2,4,4,4,3,4,4,2,4,2,0,0,0,0
1609,1,1,2,-1,2,2,4,1,1,1,2,0,4,1,1,4,0,4,4,3,2,3
1610,4,4,1,1,5,3,2,3,3,3,3,3,3,3,3,2,3,2,2,0,0,2
1611,3,3,3,3,5,3,4,4,4,4,2,2,1,4,4,3,2,0,1,1,1,1
1612,4,4,3,1,1,2,2,1,2,2,3,3,2,1,2,1,3,1,1,2,2,2
1613,5,4,1,1,5,4,4,2,2,2,3,4,3,2,2,2,4,2,0,1,2,2
1614,1,1,1,-1,4,3,4,1,1,1,0,0,1,1,1,4,0,4,4,1,2,1
1615,4,4,1,1,1,3,2,4,4,4,0,3,4,4,4,1,3,2,0,0,4,1
1616,1,3,3,-1,1,4,5,2,1,0,0,0,0,2,2,4,0,4,4,1,3,2
1617,5,5,5,5,5,2,4,2,1,4,0,4,1,2,4,2,4,0,0,0,3,4
1618,4,2,1,1,4,3,2,4,4,4,3,3,3,4,4,4,3,4,0,1,1,2
1619,5,4,2,1,4,4,3,2,0,3,2,4,3,0,0,4,4,4,1,1,3,2
1620,2,4,1,5,5,3,4,4,4,4,4,1,1,4,4,1,1,1,1,3,2,3
1621,5,1,2,1,1,4,5,2,4,2,3,4,1,4,4,4,4,0,0,1,3,3
1622,4,2,2,5,3,1,2,3,3,3,3,3,3,1,3,0,3,1,1,2,2,1
1623,5,5,1,1,1,2,2,1,1,1,4,4,2,1,1,0,4,1,0,4,2,2
1624,4,5,3,-1,5,4,4,0,0,0,0,3,2,0,0,0,3,0,1,0,3,2
1625,4,2,3,2,2,3,3,2,2,2,3,3,2,2,2,0,3,0,1,2,2,2
1626,4,3,3,4,5,4,3,1,1,1,2,3,2,1,1,1,3,0,3,3,2,3
1627,1,4,2,5,5,4,3,0,0,1,2,0,1,0,0,2,0,0,0,1,3,3
1628,4,3,2,1,3,3,1,3,4,4,3,3,4,3,4,0,3,0,1,1,3,2
1629,5,1,3,1,1,4,2,2,0,1,1,4,1,2,1,2,4,4,2,0,4,0
1630,5,3,3,-1,5,1,1,0,0,0,4,4,4,0,1,4,4,4,4,2,2,3
1631,3,5,3,-1,2,1,2,4,4,4,2,2,0,4,4,0,2,0,3,4,2,2
1632,2,1,2,-1,5,1,4,2,3,0,2,1,3,4,0,1,1,1,1,4,2,3
1633,5,4,1,1,5,3,5,0,0,0,4,4,4,0,0,4,4,0,4,0,3,3
1634,4,3,3,1,2,1,5,4,2,4,3,3,4,4,4,3,3,3,3,2,2,2
1635,2,1,2,1,1,1,1,2,2,2,1,1,2,2,2,4,1,4,4,1,3,3
1636,5,5,4,5,2,2,3,0,0,0,3,4,0,0,0,2,4,0,0,0,3,3
1637,4,1,1,1,4,4,5,0,0,0,3,3,4,0,0,4,3,0,0,1,3,2
1638,1,1,2,1,5,3,5,4,4,4,3,0,3,4,4,2,0,0,0,0,3,3
1639,3,2,2,5,5,2,1,1,1,1,1,2,3,1,1,0,2,0,1,1,2,2
1640,4,1,3,-1,2,1,5,4,0,3,3,3,1,4,1,0,3,3,3,1,2,2
1641,5,2,2,-1,2,2,4,1,2,1,2,4,1,1,1,0,4,0,1,1,1,1
1642,2,3,3,3,1,4,3,4,2,4,0,1,2,4,4,3,1,0,0,2,0,0
1643,3,1,3,1,1,4,1,2,1,0,4,2,4,3,0,2,2,2,0,1,3,1
1644,4,3,3,2,3,3,4,0,3,0,3,3,4,0,0,1,3,0,0,2,2,2
1645,3,3,3,4,5,1,2,2,0,1,1,2,1,2,1,3,2,3,0,0,2,1
1646,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,1,3,0,0,3,3,3
1647,1,4,1,1,4,2,1,0,0,0,3,0,0,0,0,1,0,4,0,1,2,1
1648,4,1,1,1,1,2,4,4,4,4,3,3,0,4,4,1,3,1,0,0,0,0
1649,4,1,2,2,2,2,5,1,1,4,3,3,1,1,1,2,3,2,0,1,0,0
1650,3,2,3,5,3,1,4,2,2,2,2,2,3,2,2,0,2,0,0,3,3,2
1651,5,5,3,1,5,3,1,3,3,3,4,4,0,3,3,1,4,0,2,2,2,2
1652,2,2,2,4,3,3,2,1,2,1,1,1,1,1,1,0,1,0,0,4,1,3
