,correct_option,validated_option,llama70b,llama13b,llama7b,gpt35turbo,finetuned_gpt3,random,MoMu_zero,multimodal_correct_option,MoleculeSTM_zero,KV-PLM_zero,kvplm_correct_option,SciBERT_zero,MoMu_finetuned,MoleculeSTM_finetuned,galactica-125m_zero,galactica_correct_option,galactica-1.3b_zero,galactica-6.7b_zero,galactica-125m_finetuned,galactica-1.3b_finetuned,galactica-6.7b_finetuned
1048,4,4,4,4,5,4,2,1,4,3,0,3,3,3,4,2,1,3,0,0,1,3,3
1049,1,1,1,3,1,1,1,3,3,0,0,1,0,1,1,1,0,0,0,0,1,0,0
1050,2,2,2,2,1,2,2,2,0,1,2,4,1,2,0,4,0,1,0,0,1,1,1
1051,5,5,5,3,5,5,3,1,3,4,1,4,4,0,3,3,0,4,0,0,4,2,4
1052,5,5,5,3,5,5,1,5,4,4,4,1,4,1,2,4,2,4,0,0,0,3,0
1053,3,3,3,3,4,3,3,4,4,2,3,0,2,0,4,2,0,2,0,0,1,2,2
1054,4,4,4,5,5,3,4,1,4,3,3,4,3,3,2,1,0,3,0,0,3,3,3
1055,2,2,2,2,5,2,2,3,1,1,3,0,1,0,2,0,0,1,0,1,1,1,1
1056,3,3,3,3,5,3,2,1,2,2,2,2,2,3,2,2,0,2,0,0,2,2,2
1057,5,5,4,1,5,3,4,5,4,4,4,2,4,0,1,2,0,4,0,0,4,4,4
1058,4,4,4,2,5,2,5,1,0,3,4,4,3,3,3,0,0,3,2,3,1,3,3
1059,3,3,3,4,5,1,3,2,3,2,3,4,2,3,3,3,0,2,0,0,1,2,2
1060,3,3,2,3,5,2,1,1,1,2,4,4,2,2,4,1,0,2,0,0,1,2,4
1061,3,3,3,3,5,3,3,1,1,2,1,0,2,3,1,1,0,2,0,0,1,2,2
1062,3,3,3,1,5,3,3,2,2,2,1,2,2,2,2,2,0,2,2,0,2,2,2
1063,1,1,4,3,5,1,5,2,1,0,0,2,0,2,1,1,0,0,0,0,0,4,0
1064,2,2,4,5,4,2,5,5,4,1,4,2,1,3,4,4,0,1,0,0,1,0,0
1065,2,2,2,2,4,2,1,4,3,1,3,1,1,3,3,1,0,1,0,0,1,1,1
1066,3,3,3,3,2,5,3,4,2,2,2,4,2,0,4,4,0,2,0,0,0,2,2
1067,3,3,3,3,4,3,3,4,2,2,2,2,2,2,2,2,0,2,0,0,1,2,2
1068,3,3,3,3,99,3,3,2,2,2,2,2,2,0,2,2,0,2,0,0,0,2,2
1069,2,2,2,2,5,2,1,2,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
1070,5,5,4,3,5,5,5,3,1,4,3,0,4,2,1,0,0,4,0,0,1,0,0
1071,5,5,5,2,5,5,5,3,4,4,2,1,4,3,4,3,0,4,0,4,4,4,4
1072,4,4,4,3,5,4,4,4,2,3,3,1,3,1,2,3,0,3,0,0,1,3,3
1073,2,2,2,2,1,2,2,4,1,1,1,1,1,4,1,1,0,1,0,0,1,1,1
1074,5,5,4,5,4,4,3,1,3,4,2,4,4,2,3,2,0,4,0,0,1,0,4
1075,2,2,2,2,5,4,2,4,1,1,1,0,1,2,1,1,0,1,0,0,1,1,1
1076,4,4,4,5,5,5,4,5,0,3,0,0,3,3,0,0,0,3,0,0,1,3,3
1077,3,3,2,5,5,1,2,2,0,2,0,3,2,1,0,1,0,2,0,0,1,2,0
1078,4,4,3,3,5,2,3,4,3,3,2,1,3,4,3,3,0,3,4,0,1,2,2
1079,4,4,1,5,5,4,4,3,3,3,3,4,3,3,3,4,0,3,0,3,1,3,3
1080,3,3,3,5,3,3,1,4,4,2,4,1,2,2,4,4,0,2,0,0,1,3,2
1081,5,5,2,3,5,2,5,1,2,4,3,3,4,0,2,3,0,4,4,0,0,4,4
1082,4,4,3,1,4,3,4,5,4,3,3,3,3,3,2,3,0,3,3,3,1,3,3
1083,5,5,5,5,5,5,1,1,4,4,4,4,4,0,4,4,0,4,0,4,1,4,4
1084,5,5,4,3,5,4,4,2,4,4,4,3,4,2,4,4,0,4,0,0,1,0,4
1085,3,3,3,3,5,4,2,2,2,2,1,3,2,0,1,0,0,2,3,0,1,2,2
1086,2,2,2,5,5,5,2,4,1,1,1,1,1,3,1,1,0,1,0,0,1,1,1
1087,4,4,3,3,5,3,2,4,2,3,2,2,3,0,2,2,0,3,0,0,1,0,1
1088,5,5,4,1,1,2,1,1,2,4,2,1,4,4,2,2,3,4,1,3,0,0,4
1089,3,3,3,3,4,2,3,4,2,2,2,1,2,0,2,2,0,2,0,0,1,2,2
1090,4,4,4,5,3,4,4,3,1,3,1,0,3,1,3,1,0,3,0,0,1,3,0
1091,1,1,2,2,5,1,1,3,3,0,3,2,0,1,3,3,0,0,0,0,1,0,0
1092,3,3,3,3,1,1,3,1,4,2,4,3,2,2,4,3,0,2,0,0,1,0,0
1093,4,4,4,3,4,5,1,5,1,3,1,2,3,0,2,1,0,3,0,0,3,3,3
1094,2,2,3,3,4,2,1,2,0,1,4,4,1,4,0,4,0,1,2,0,4,1,0
1095,2,2,4,5,5,2,2,4,2,1,2,4,1,1,2,2,0,1,0,0,1,3,0
1096,3,3,3,1,5,3,3,1,3,2,3,2,2,3,4,4,0,2,0,0,1,2,1
1097,4,4,4,4,5,4,3,2,1,3,4,4,3,0,1,0,0,3,3,0,1,0,0
1098,2,2,3,1,5,4,2,3,1,1,1,0,1,3,1,1,0,1,0,0,1,0,0
1099,1,1,3,1,5,3,1,1,2,0,1,1,0,0,2,4,0,0,0,0,1,0,0
1100,5,5,2,5,5,5,5,3,2,4,4,4,4,2,2,2,0,4,2,0,1,2,4
1101,5,5,3,5,4,5,1,4,4,4,3,4,4,3,4,3,0,4,0,0,1,0,0
1102,4,4,4,4,5,4,4,2,2,3,3,0,3,2,2,3,0,3,0,0,0,0,3
1103,3,3,3,3,5,2,3,3,0,2,0,3,2,4,0,3,0,2,0,0,1,2,2
1104,2,2,2,1,5,2,2,3,3,1,0,1,1,1,0,0,0,1,0,1,1,1,1
1105,3,3,3,3,5,3,3,3,2,2,0,1,2,1,4,0,0,2,0,0,0,2,2
1106,4,4,4,4,4,4,5,4,2,3,2,2,3,3,2,2,0,3,0,0,1,0,1
1107,2,2,2,2,2,2,2,1,2,1,4,2,1,1,2,1,0,1,0,0,1,1,1
1108,4,4,4,4,4,4,4,1,4,3,4,2,3,1,4,4,0,3,0,3,0,3,3
1109,4,4,4,5,5,5,4,1,3,3,3,3,3,2,3,3,0,3,0,0,0,3,3
1110,3,3,3,5,4,1,3,4,1,2,0,0,2,2,0,0,0,2,0,0,1,2,2
1111,2,2,2,3,4,2,3,1,0,1,4,3,1,2,0,4,0,1,2,0,1,1,0
1112,5,5,4,4,5,5,5,2,0,4,2,4,4,2,0,2,0,4,0,0,2,4,4
1113,5,5,3,1,5,5,3,4,4,4,4,3,4,0,2,4,0,4,0,0,1,2,2
1114,1,1,4,3,5,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
1115,3,3,2,3,5,3,3,5,2,2,2,2,2,0,2,2,0,2,0,0,1,2,2
1116,3,3,2,3,5,2,2,3,2,2,4,0,2,1,1,4,0,2,0,0,1,1,1
1117,3,3,3,3,5,3,3,1,2,2,2,1,2,1,2,2,0,2,2,0,1,2,2
1118,3,3,3,3,3,3,3,4,2,2,0,4,2,2,2,4,0,2,0,2,1,2,2
1119,4,4,4,2,4,2,5,3,4,3,0,3,3,3,4,0,0,3,0,0,0,1,4
1120,2,2,4,5,4,3,3,4,2,1,2,4,1,1,2,3,0,1,0,0,1,2,0
1121,3,3,3,3,3,3,1,1,4,2,0,4,2,1,4,4,0,2,0,0,0,2,2
1122,3,3,3,2,1,2,1,5,2,2,0,3,2,2,0,0,0,2,0,0,1,0,0
1123,2,2,2,4,5,2,1,3,4,1,0,0,1,1,1,1,0,1,0,0,0,0,0
1124,3,3,3,3,5,3,2,3,2,2,4,2,2,4,4,4,0,2,2,0,1,2,2
1125,2,2,3,3,4,3,4,4,3,1,4,1,1,4,1,1,0,1,2,0,1,2,0
1126,3,3,4,3,5,4,3,2,1,2,4,3,2,1,1,1,0,2,0,0,1,1,0
1127,3,3,3,3,5,3,3,1,2,2,2,2,2,3,2,2,0,2,2,1,1,2,2
1128,3,3,3,4,3,3,1,5,4,2,3,0,2,3,2,3,0,2,0,0,1,2,2
1129,2,2,1,2,5,2,2,1,4,1,0,1,1,2,0,0,0,1,0,0,1,1,0
1130,2,2,4,5,4,2,5,3,1,1,1,1,1,3,1,1,0,1,0,0,0,0,0
1131,3,3,3,-1,4,3,4,4,1,2,1,2,2,2,1,1,0,2,0,0,1,2,0
1132,3,3,6,2,3,6482,2,1,2,2,1,1,2,2,1,1,0,2,0,0,1,2,1
1133,3,3,3,3,3,3,3,4,4,2,3,4,2,4,4,4,0,2,0,0,1,2,2
1134,4,4,4,3,4,4,2,1,1,3,0,0,3,3,1,0,0,3,0,0,0,0,3
1135,3,3,3,3,5,3,3,3,3,2,3,3,2,0,3,3,0,2,0,0,1,2,2
1136,4,4,4,4,4,3,4,3,3,3,1,3,3,3,3,4,0,3,0,3,3,3,3
1137,5,5,4,3,4,1,3,5,0,4,0,3,4,0,1,4,0,4,0,0,1,2,4
1138,4,4,4,5,4,4,1,3,4,3,3,2,3,3,0,3,0,3,4,3,1,3,3
1139,5,5,4,3,4,5,1,4,4,4,4,4,4,4,4,4,0,4,0,0,1,0,4
1140,3,3,3,3,5,1,2,4,2,2,2,1,2,1,2,2,0,2,0,0,1,2,2
1141,5,5,4,3,5,1,3,4,1,4,4,4,4,4,1,1,0,4,0,0,0,2,0
1142,3,3,3,2,2,3,4,2,2,2,4,3,2,4,2,3,0,2,0,0,1,1,1
1143,3,3,3,3,3,3,2,2,1,2,1,1,2,1,1,2,0,2,0,0,1,3,0
1144,2,2,2,1,4,2,2,1,2,1,1,1,1,3,2,0,0,1,0,0,1,1,1
1145,3,3,4,1,4,4,1,5,3,2,3,1,2,2,3,3,0,2,0,0,1,0,2
1146,2,2,5,5,5,2,1,4,1,1,1,4,1,0,1,1,0,1,0,0,1,1,0
1147,3,3,3,3,5,3,2,1,1,2,1,2,2,0,1,1,0,2,0,0,1,2,2
1148,3,3,1,4,5,4,3,4,2,2,2,2,2,1,2,2,0,2,0,0,0,0,0
1149,3,3,3,3,5,3,2,5,2,2,1,2,2,4,3,2,0,2,2,2,1,2,2
1150,1,1,1,3,5,3,5,2,2,0,2,2,0,1,2,2,0,0,0,0,1,0,0
1151,4,4,3,3,5,3,3,4,1,3,1,1,3,2,3,1,0,3,2,0,1,2,2
1152,5,5,3,2,5,1,5,2,4,4,3,4,4,0,4,4,0,4,0,0,1,0,4
1153,5,5,4,5,5,3,3,3,3,4,3,4,4,2,0,3,0,4,0,0,1,0,0
1154,4,4,3,3,4,1,1,5,3,3,2,3,3,1,3,3,0,3,0,0,1,3,3
1155,4,4,4,4,5,1,4,1,2,3,2,3,3,1,2,1,0,3,3,0,0,3,3
1156,2,2,4,4,3,3,3,3,1,1,4,3,1,0,4,4,0,1,0,0,0,2,0
1157,3,3,3,3,1,3,2,5,1,2,2,3,2,3,1,4,0,2,0,0,1,1,1
1158,2,2,4,5,5,1,1,1,1,1,1,2,1,0,1,1,0,1,0,0,1,2,0
1159,3,3,2,2,2,2,4,3,2,2,2,0,2,4,2,2,0,2,0,0,1,0,2
1160,3,3,3,3,5,3,3,3,2,2,2,3,2,4,2,2,0,2,0,0,1,2,2
1161,4,4,3,5,5,4,4,2,3,3,3,4,3,4,2,2,0,3,0,0,1,3,3
1162,4,4,4,5,5,4,5,5,0,3,3,3,3,0,3,3,0,3,0,0,1,3,0
1163,3,3,3,1,4,1,3,5,2,2,4,3,2,4,4,0,0,2,0,0,1,2,2
1164,3,3,2,2,5,3,3,5,4,2,2,0,2,3,4,4,0,2,0,0,1,2,2
1165,5,5,1,2,5,1,5,3,4,4,4,4,4,4,4,4,0,4,0,0,1,0,4
1166,3,3,3,5,5,5,1,5,0,2,4,1,2,2,0,0,0,2,0,2,1,2,2
1167,3,3,3,3,5,3,1,4,1,2,2,2,2,0,1,1,0,2,0,0,1,0,0
1168,4,4,4,1,4,4,4,5,3,3,3,3,3,1,3,3,0,3,0,0,0,0,0
1169,2,2,2,5,5,5,5,2,4,1,0,0,1,3,2,1,0,1,0,0,1,1,1
1170,2,2,2,5,5,2,1,4,1,1,0,0,1,2,1,0,0,1,0,0,1,3,0
1171,3,3,3,3,5,3,2,1,0,2,2,2,2,0,0,3,0,2,0,0,1,1,1
1172,4,4,4,4,4,4,1,4,3,3,0,4,3,2,3,1,0,3,0,0,2,1,0
1173,3,3,3,4,4,3,3,5,2,2,2,2,2,0,2,2,0,2,0,0,1,2,2
1174,5,5,1,1,5,5,2,1,3,4,3,2,4,0,2,2,4,4,0,0,1,2,0
1175,3,3,3,3,5,3,3,3,0,2,1,3,2,4,0,0,0,2,2,2,1,2,2
1176,2,2,3,2,5,2,3,1,3,1,3,3,1,2,4,3,0,1,0,0,0,3,0
1177,2,2,2,2,5,2,2,5,1,1,1,2,1,2,2,1,0,1,0,1,1,1,1
1178,3,3,4,3,5,3,1,2,3,2,1,1,2,1,3,1,0,2,0,0,1,0,0
1179,2,2,4,4,5,2,2,5,1,1,4,4,1,0,1,4,0,1,0,0,1,0,1
1180,3,3,3,3,4,3,3,3,0,2,3,0,2,1,2,3,0,2,4,0,2,2,4
1181,2,2,3,3,5,5,2,1,2,1,2,0,1,3,2,2,0,1,1,0,1,1,1
1182,4,4,4,4,4,4,4,5,1,3,2,4,3,3,0,2,0,3,3,3,1,3,3
1183,3,3,3,3,4,3,3,3,4,2,1,2,2,1,4,1,0,2,2,0,2,2,2
1184,2,2,2,2,4,2,2,2,2,1,0,3,1,2,0,0,0,1,0,0,1,1,1
1185,4,4,4,4,4,4,4,2,3,3,4,2,3,2,3,3,0,3,3,3,0,3,3
1186,4,4,4,4,4,4,4,1,2,3,3,4,3,1,1,3,0,3,3,3,0,3,3
1187,1,1,1,1,5,1,1,3,4,0,0,4,0,2,4,0,0,0,0,0,0,0,0
1188,3,3,3,3,5,3,3,5,3,2,3,0,2,2,3,0,0,2,0,0,2,2,2
1189,5,5,4,5,5,2,3,2,4,4,4,0,4,1,4,4,0,4,0,0,4,4,4
1190,4,4,2,3,4,4,4,5,3,3,3,3,3,1,3,3,0,3,0,3,1,1,1
1191,1,1,4,3,5,1,2,5,1,0,1,3,0,3,1,1,0,0,0,0,1,0,0
1192,3,3,3,3,5,3,5,3,2,2,2,0,2,2,3,2,0,2,0,0,1,0,0
1193,4,4,4,4,5,4,5,5,0,3,2,2,3,3,2,2,0,3,0,0,1,3,3
1194,5,5,3,2,5,2,4,5,4,4,2,4,4,0,0,1,0,4,0,0,1,3,0
1195,5,5,3,3,4,3,2,1,0,4,1,3,4,2,1,4,0,4,0,0,1,0,0
1196,2,2,4,2,5,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
1197,3,3,3,3,5,3,1,5,2,2,2,1,2,3,4,1,0,2,0,0,1,2,0
1198,4,4,4,3,4,3,2,2,4,3,4,3,3,3,3,4,0,3,0,0,2,3,3
1199,4,4,4,4,4,5,4,3,2,3,2,2,3,4,2,2,0,3,0,3,1,3,3
1200,5,5,3,3,5,5,3,3,2,4,4,4,4,2,2,4,0,4,0,0,1,0,4
1201,2,2,2,3,5,2,1,4,1,1,1,4,1,2,2,0,0,1,0,0,0,0,1
1202,4,4,4,4,5,4,4,4,1,3,1,3,3,3,1,1,0,3,0,0,1,0,3
1203,3,3,3,3,5,1,2,5,2,2,2,3,2,0,2,2,0,2,0,0,1,2,2
1204,2,2,2,3,2,2,2,5,4,1,4,1,1,1,4,4,0,1,0,1,2,1,1
1205,5,5,4,3,4,4,1,4,4,4,4,0,4,0,4,4,1,4,0,0,1,0,4
1206,4,4,4,3,5,4,3,4,2,3,3,2,3,1,2,3,0,3,0,0,1,2,1
1207,3,3,3,3,5,3,3,3,2,2,2,1,2,2,2,2,0,2,0,0,1,2,2
1208,4,4,4,4,5,4,4,5,3,3,3,2,3,3,2,3,0,3,0,0,0,3,3
1209,4,4,3,3,4,3,3,4,0,3,2,1,3,1,0,2,0,3,0,0,2,3,3
1210,4,4,4,4,5,2,4,3,3,3,3,0,3,3,3,0,0,3,3,0,1,3,2
1211,3,3,3,3,5,3,3,4,2,2,2,0,2,1,1,3,0,2,3,0,0,2,2
1212,3,3,4,4,4,3,4,1,2,2,0,2,2,4,2,0,0,2,0,0,1,0,3
1213,1,1,1,1,4,1,1,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0
1214,2,2,2,2,5,2,3,3,4,1,0,1,1,0,4,1,0,1,0,0,1,1,0
1215,3,3,3,3,5,3,1,5,4,2,4,1,2,3,4,4,0,2,0,0,1,1,1
1216,4,4,4,3,1,3,1,1,1,3,1,3,3,0,1,0,0,3,0,0,1,0,0
1217,3,3,3,3,4,3,3,3,2,2,1,4,2,2,1,2,0,2,0,0,1,3,0
1218,5,5,1,2,5,5,1,5,1,4,3,1,4,0,3,3,0,4,0,0,1,0,0
1219,4,4,4,4,5,1,1,1,2,3,4,4,3,1,1,3,0,3,3,0,1,3,0
1220,3,3,3,3,3,3,3,2,4,2,2,2,2,3,4,0,0,2,0,0,1,2,2
1221,1,1,2,1,5,2,3,5,3,0,0,1,0,0,4,1,0,0,0,0,0,1,1
1222,4,4,4,5,4,4,4,3,3,3,3,3,3,3,3,3,0,3,0,0,1,2,3
1223,2,2,2,5,5,2,3,4,1,1,3,0,1,3,1,1,0,1,0,0,1,1,1
1224,2,2,3,3,5,5,1,1,0,1,4,4,1,4,4,4,0,1,0,0,1,2,0
1225,4,4,3,1,5,2,4,2,4,3,4,3,3,2,4,1,0,3,0,2,0,2,2
1226,3,3,3,3,3,3,4,1,2,2,1,2,2,1,2,1,0,2,0,0,2,2,2
1227,2,2,3,3,5,2,2,2,2,1,2,0,1,4,3,0,0,1,0,0,1,0,0
1228,4,4,2,3,3,2,4,1,4,3,1,3,3,4,1,3,0,3,0,0,1,3,3
1229,2,2,2,5,5,2,2,4,1,1,0,1,1,4,0,0,0,1,0,0,2,2,2
1230,2,2,4,2,2,5,3,1,1,1,1,4,1,1,4,4,0,1,0,0,1,2,1
1231,4,4,4,2,5,4,4,5,0,3,0,4,3,2,0,2,0,3,4,0,1,4,4
1232,4,4,4,4,5,2,2,3,3,3,3,3,3,4,3,3,0,3,0,0,1,0,3
1233,5,5,4,5,5,5,3,4,4,4,0,2,4,4,3,0,0,4,0,0,1,0,4
1234,5,5,3,1,5,3,3,1,1,4,1,2,4,3,1,1,0,4,0,0,1,0,4
1235,3,3,3,3,4,3,2,1,4,2,4,0,2,0,0,0,0,2,0,0,1,2,0
1236,4,4,4,4,4,4,4,3,3,3,2,2,3,3,1,3,0,3,0,0,0,3,3
1237,4,4,4,4,4,4,4,4,1,3,3,3,3,1,3,3,0,3,0,3,1,3,3
1238,3,3,2,2,5,3,3,1,2,2,2,1,2,1,2,2,0,2,0,0,1,0,2
1239,3,3,3,3,5,3,3,2,1,2,3,1,2,3,1,2,0,2,2,2,0,2,2
1240,3,3,4,3,5,3,2,5,1,2,1,3,2,3,1,1,0,2,0,0,0,2,0
1241,4,4,4,3,4,4,3,1,3,3,0,0,3,3,4,0,0,3,0,0,0,3,3
1242,2,2,3,2,4,3,3,2,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1
1243,5,5,4,3,5,5,3,3,1,4,1,2,4,0,0,1,0,4,0,0,1,2,4
1244,3,3,3,3,4,3,1,4,3,2,1,1,2,1,3,1,0,2,0,0,1,2,0
1245,2,2,4,5,5,2,1,5,0,1,1,1,1,0,2,0,0,1,0,0,1,0,0
1246,3,3,3,3,3,3,2,5,0,2,4,1,2,4,0,2,0,2,0,2,1,2,2
1247,5,5,5,5,5,5,1,3,3,4,0,0,4,4,4,4,0,4,0,4,1,4,4
1248,4,4,4,5,5,3,4,4,3,3,3,3,3,3,3,3,0,3,0,0,1,3,3
1249,5,5,4,5,5,3,4,5,2,4,2,3,4,4,2,0,0,4,0,0,1,4,4
1250,4,4,4,4,4,4,2,4,2,3,3,3,3,3,3,0,0,3,0,0,1,0,0
1251,3,3,4,5,4,3,3,3,2,2,2,2,2,2,2,2,0,2,0,0,1,0,2
1252,1,1,4,5,1,4,3,4,1,0,4,1,0,1,1,4,2,0,0,2,4,3,0
1253,3,3,3,3,4,3,1,5,3,2,2,2,2,4,1,3,0,2,0,0,1,0,0
1254,2,2,4,3,4,4,3,2,1,1,1,3,1,1,1,1,0,1,0,0,1,1,0
1255,4,4,3,3,4,3,3,3,2,3,3,3,3,0,2,1,0,3,0,0,1,0,4
1256,2,2,2,2,5,2,2,3,2,1,1,1,1,1,1,4,0,1,0,0,0,1,1
1257,2,2,4,1,5,2,3,2,0,1,0,3,1,4,0,1,0,1,0,0,1,0,0
1258,2,2,4,3,3,3,3,2,0,1,3,1,1,0,0,3,0,1,0,0,1,0,0
1259,2,2,2,2,5,2,2,3,3,1,4,1,1,0,1,3,0,1,0,0,1,2,1
1260,3,3,2,2,5,2,3,5,2,2,2,0,2,2,2,2,0,2,0,0,1,0,2
1261,2,2,3,5,5,3,1,4,0,1,1,0,1,0,1,1,0,1,0,0,1,3,0
1262,4,4,4,4,5,5,4,5,0,3,0,3,3,1,2,2,0,3,0,3,0,3,3
1263,3,3,3,4,5,2,3,1,3,2,0,3,2,0,3,0,0,2,0,0,1,2,2
1264,2,2,2,1,5,1,2,1,2,1,2,2,1,1,2,2,0,1,0,0,1,0,0
1265,3,3,3,2,4,3,1,3,1,2,1,0,2,4,2,1,0,2,0,0,1,2,0
1266,4,4,4,3,4,3,2,4,3,3,3,2,3,1,3,3,0,3,0,0,1,3,3
1267,5,5,2,2,4,5,2,4,4,4,4,1,4,2,4,4,0,4,0,0,1,1,1
1268,5,5,3,3,5,4,5,4,3,4,1,4,4,2,3,4,0,4,0,0,1,2,4
1269,3,3,2,3,5,2,3,2,1,2,1,1,2,1,1,1,0,2,0,0,1,2,2
1270,2,2,4,2,4,2,2,1,2,1,3,1,1,1,2,1,0,1,0,0,1,0,0
1271,3,3,2,3,5,2,3,3,1,2,4,1,2,0,2,2,0,2,0,0,1,0,1
1272,4,4,4,1,5,4,1,1,2,3,2,2,3,0,2,2,0,3,0,0,1,0,0
1273,3,3,3,3,5,3,3,4,2,2,2,2,2,1,2,2,0,2,0,2,1,2,2
1274,2,2,2,2,5,5,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
1275,4,4,3,2,5,4,2,2,4,3,3,3,3,4,4,3,0,3,0,0,1,2,0
1276,4,4,3,3,5,4,4,5,1,3,0,3,3,1,3,0,1,3,4,0,1,3,3
1277,4,4,2,3,5,3,2,2,3,3,0,4,3,0,3,0,0,3,0,0,1,2,2
1278,5,5,2,3,5,5,5,4,4,4,4,4,4,4,4,4,0,4,0,0,1,3,4
1279,3,3,2,2,4,2,3,4,2,2,3,2,2,4,3,3,0,2,0,0,1,2,1
1280,2,2,3,3,5,2,2,4,1,1,1,4,1,2,1,1,0,1,0,0,1,1,1
1281,3,3,3,5,5,3,3,4,0,2,4,0,2,2,4,4,0,2,2,2,1,2,2
1282,4,4,4,3,5,4,4,5,3,3,3,1,3,3,3,3,0,3,0,0,1,3,3
1283,3,3,3,-1,5,3,3,3,0,2,3,2,2,1,3,3,0,2,0,0,1,0,1
1284,3,3,4,4,5,1,2,4,1,2,0,3,2,2,0,0,0,2,0,0,0,2,0
1285,4,4,4,2,5,4,2,5,4,3,3,0,3,4,0,3,0,3,0,0,1,3,0
1286,2,2,2,5,5,2,2,3,4,1,4,2,1,3,4,2,0,1,0,1,1,1,1
1287,2,2,2,5,5,2,2,3,4,1,0,3,1,4,1,0,0,1,0,1,2,0,1
1288,2,2,2,2,5,2,1,2,0,1,2,1,1,0,3,2,0,1,0,0,1,0,1
1289,2,2,2,2,5,2,5,4,4,1,4,0,1,3,4,0,0,1,0,1,1,0,0
1290,4,4,4,4,4,4,4,4,3,3,1,3,3,0,3,3,0,3,0,3,2,3,3
1291,5,5,4,5,5,2,5,4,4,4,4,4,4,0,4,4,0,4,0,4,1,4,4
1292,5,5,4,3,4,5,3,4,3,4,1,1,4,2,3,1,0,4,0,0,1,4,4
1293,4,4,4,4,4,4,1,5,1,3,1,4,3,0,1,1,0,3,0,0,1,3,3
1294,4,4,4,4,4,3,4,2,3,3,3,3,3,4,3,3,0,3,0,0,1,0,3
1295,1,1,3,4,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1296,4,4,4,4,1,4,1,2,3,3,3,2,3,3,3,3,0,3,0,0,1,0,0
1297,4,4,2,2,1,3,1,3,0,3,1,1,3,1,1,3,0,3,0,0,1,4,4
1298,5,5,2,5,5,2,5,1,2,4,3,4,4,2,2,2,0,4,0,0,1,0,0
1299,5,5,2,2,5,2,4,2,4,4,0,3,4,3,4,0,0,4,0,0,0,0,0
1300,3,3,4,4,4,1,5,4,1,2,3,2,2,4,1,2,0,2,0,0,1,0,0
1301,5,5,-1,5,5,5,4,1,2,4,4,3,4,0,2,4,0,4,0,0,1,2,3
1302,3,3,3,3,5,2,3,4,1,2,4,0,2,2,3,4,0,2,0,0,1,0,0
1303,4,4,3,3,5,5,2,2,1,3,1,3,3,1,4,1,0,3,0,0,1,1,1
1304,3,3,3,3,5,3,1,3,0,2,4,2,2,2,2,4,1,2,1,2,1,2,2
1305,4,4,3,3,1,1,1,4,4,3,3,3,3,1,3,3,1,3,0,0,1,0,0
1306,4,4,4,3,4,3,1,3,2,3,3,2,3,1,2,3,0,3,3,0,0,3,3
1307,1,1,4,3,3,2,1,2,3,0,3,0,0,3,3,3,0,0,0,0,3,3,2
1308,1,1,3,1,4,1,1,4,3,0,1,1,0,0,1,1,0,0,0,0,1,0,0
1309,3,3,3,1,5,3,3,4,2,2,1,2,2,4,2,2,0,2,0,0,1,2,2
1310,2,2,3,3,4,3,2,3,1,1,1,4,1,3,1,1,0,1,0,0,1,1,1
1311,4,4,4,4,4,4,4,2,4,3,3,1,3,2,4,3,0,3,0,3,1,3,3
1312,4,4,4,5,5,4,4,4,1,3,3,1,3,3,1,1,0,3,0,3,0,3,3
1313,1,1,1,4,5,1,2,5,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0
1314,4,4,4,1,5,1,2,2,4,3,1,0,3,3,4,3,0,3,0,0,1,0,3
1315,4,4,4,4,5,4,4,4,3,3,3,4,3,1,3,0,0,3,3,0,1,3,3
1316,3,3,3,3,5,3,3,1,0,2,2,0,2,2,3,2,0,2,0,2,1,2,2
1317,4,4,4,4,5,4,3,3,2,3,2,4,3,0,2,2,1,3,0,0,1,2,0
1318,5,5,4,3,4,3,5,2,4,4,4,2,4,4,4,4,0,4,0,0,1,1,0
1319,2,2,3,3,4,3,2,3,3,1,1,4,1,4,3,1,0,1,0,0,1,0,1
1320,2,2,2,2,2,2,1,4,1,1,1,1,1,4,4,4,0,1,0,0,1,0,0
1321,3,3,3,3,5,3,3,3,0,2,0,0,2,4,0,0,0,2,0,0,1,2,2
1322,4,4,3,3,4,4,4,3,0,3,1,0,3,2,3,3,0,3,2,3,1,3,3
1323,5,5,4,1,4,4,5,3,4,4,4,4,4,4,4,3,0,4,0,0,1,2,4
1324,3,3,1,4,5,3,2,3,0,2,0,0,2,0,0,0,0,2,2,0,1,2,0
1325,3,3,3,3,5,3,3,5,3,2,3,2,2,0,0,3,0,2,0,0,1,2,2
1326,3,3,3,5,5,2,1,2,2,2,2,0,2,2,2,1,0,2,0,0,1,0,0
1327,4,4,4,4,4,4,4,4,2,3,0,2,3,3,0,1,0,3,0,0,1,3,3
1328,3,3,3,1,5,-1,3,3,3,2,3,2,2,0,3,3,0,2,0,0,1,2,2
